title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
My Girl,1991,PG-13,102 minutes,Comedy,,,,Howard Zieff,,
Building Jerusalem,2015,Not Rated,,Documentary,,,,James Erskine,,"$134,245"
Building Hope,2011,Not Rated,71 minutes,Documentary,,,,Turk Pipkin,,
Bugsy,1991,R,,Drama,,,,Barry Levinson,,
Bugs Bunny Film Fest,1998,,,Comedy,,,,,,
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,G,77 minutes,Adventure,,,,Friz Freleng,,
Bugs,2017,Not Rated,74 minutes,Documentary,,,,Andreas Johnsen,,
A Bug's Life,1998,G,96 minutes,Adventure,,,,John Lasseter,Dave Foley,"$363,095,319"
Buffy the Vampire Slayer,1992,PG-13,86 minutes,Horror,,,,,,
Bug,2007,R,102 minutes,Drama,,,,William Friedkin,,"$8,302,995"
Buffalo Soldiers,2003,R,,Comedy,,,,,Joaquin Phoenix,
Buffalo Girls,2012,Not Rated,63 minutes,Documentary,,,,Todd Kellstein,,
Bugs! (IMAX),2003,Not Rated,40 minutes,Documentary,,,,,Judi Dench,"$29,196,944"
Buffalo '66,1998,R,,Comedy,,,,Vincent Gallo,,
El BÃºfalo de la Noche,2009,NC-17,,Drama,,,,,,"$1,553,198"
My Giant,1998,PG,103 minutes,Comedy,,,,Michael Lehmann,,
My Generation,2017,,85 minutes,Documentary,,,,David Batty,,"$361,901"
My Funny Valentine,2014,,,Romantic Comedy,,,,John Bevilacqua,,
My Friends Tigger & Pooh - Super Sleuth Christmas Movie,2007,,,Musical,,,,,,
My Friends Tigger and Pooh: Super Duper Super Sleuths,2010,,,Adventure,,,,,,
My Friends Tigger & Pooh - Hundred Acre Wood Haunt,2008,,,,,,,,,
My Friends Tigger & Pooh - Friendly Tails,2008,,,Musical,,,,,Jim Cummings,
My Friends Tigger And Pooh: Bedtime With Pooh,2010,,,Adventure,,,,,,
My Friend Pinto,2011,,115 minutes,Comedy,,,,Raghav Dhar,Prateik Babbar,
My Friend Bernard,2012,PG,,,,,,,,
My Fight/Your Fight,2015,,,Drama,,,,,,
My Flesh and Blood,2003,Not Rated,,,,,,,,
My First Wedding,2006,PG-13,,Romantic Comedy,,,,,"Rachael Leigh Cook,Kenny Doughty",
My Friend Dahmer,2017,R,107 minutes,Drama,,,,Marc Meyers,"Ross Lynch,Anne Heche,Alex Wolff,Vincent Kartheiser",
My First Mister,2001,R,,Drama,,,,,,
Buena Vista Social Clubâ€”Adios,2017,PG,111 minutes,Documentary,,,,Lucy Walker,,"$157,187"
Buena Vista Social Club,1999,G,,Documentary,,,,Wim Wenders,,"$19,809,190"
Budz House,2011,R,,Comedy,,,,,,
A Buddy Story,2012,,84 minutes,Drama,,,,Marc Erlbaum,,
Buddymoon,2016,Not Rated,80 minutes,Comedy,,,,Alex Simmons,"David Giuntoli,Flula Borg",
The Buddy Holly Story,1978,,,Drama,,,,,Gary Busey,
The Buddy System,1984,,,Drama,,,,,Susan Sarandon,
Budrus,2010,Not Rated,78 minutes,Documentary,,,,Julia Bacha,,"$86,748"
Buddy Cops,2016,,,Action,,,,Peter Chih,,"$4,570,000"
Buddy Buddy,1981,,,Comedy,,,,Billy Wilder,,
Buddy Boy,2000,R,,Thriller/Suspense,,,,,,
Buddy,1997,PG,84 minutes,Adventure,,,,,,
Buddies in India,2017,Not Rated,99 minutes,Action,,,,Wang Baoqiang,,"$108,878,601"
Buddhaâ€™s Little Finger,2016,Not Rated,84 minutes,Drama,,,,Tony Pemberton,Toby Kebbell,
Buddha Mar Gaya,2007,Not Rated,,Comedy,,,,,,
My Favorite Year,1982,,,Comedy,,,,,,
My Fellow Americans,1996,PG-13,102 minutes,Comedy,,,,Peter Segal,"Jack Lemmon,James Garner,Dan Aykroyd",
My Favorite Hitler Youth: Just Like You & Me,2006,Not Rated,,,,,,,,
My Favorite Brunette,1947,,87 minutes,,,,,Elliott Nugent,,
My Father's Angel,2000,Not Rated,86 minutes,,,,,,,
My Father Jack,2016,,90 minutes,Action,,,,Tonino Zangardi,,"$231,833"
My Father the Hero,1994,PG,,Comedy,,,,Steve Miner,Katherine Heigl,
"My Father, The Genius",2007,,,Documentary,,,,,,
My Favorite Martian,1999,PG,94 minutes,Comedy,,,,Donald Petrie,Jeff Daniels,
"My Father, Die",2017,Not Rated,90 minutes,Action,,,,Sean Brosnan,"Joe Anderson,Gary Stretch,Candace Smith",
My Father and the Man in Black,2013,Not Rated,87 minutes,Documentary,,,,Jonathan Holiff,,
My Father,2007,,,Drama,,,,,,"$4,545,849"
My Family,1995,R,,Drama,,,,Gregory Nava,,
My Fair Lady,2011,,,Musical,,,,,,
Buddha,2011,,,Drama,,,,,,"$3,734,904"
My Fair Lady,1964,G,,Musical,,,,George Cukor,,"$72,070,955"
Bucky and the Squirrels,2013,PG,82 minutes,Adventure,,,,Allan Katz,,
Bucky Larson: Born to Be a Star,2011,R,96 minutes,Comedy,,,,Tom Brady,Nick Swardson,
Buckout Road,2017,,,Horror,,,,Matthew Currie Holmes,,
Buckaroo: The Movie,2005,PG-13,,Drama,,,,,,
Buck Rogers in the 25th Century,1979,,,Adventure,,,,,,
Buck Rogers,2011,,,Adventure,,,,,,
Buck Privates,1941,,84 minutes,Comedy,,,,,,
I buchi neri,1995,Not Rated,,Romantic Comedy,,,,Pappi Corsicato,,
Buck,2011,PG,88 minutes,Documentary,,,,Cindy Meehl,,"$4,523,972"
The Bucket List,2007,PG-13,97 minutes,Comedy,,,,Rob Reiner,"Jack Nicholson,Morgan Freeman","$174,807,445"
My Ex and Whys,2016,,,Romantic Comedy,,,,Cathy Garcia-Molina,,"$79,431"
My Ex-Ex,2015,Not Rated,100 minutes,Romantic Comedy,,,,Nathaniel Warsh,"Andre Bharti,Katherine Barrell,Ray Galletti",
My Dog the Space Traveler,2013,PG,,Adventure,,,,,,
My Dog the Champion,2013,G,,Drama,,,,Kevin Nations,,
My Entire High School Sinking Into the Sea,2017,PG-13,77 minutes,Adventure,,,,Dash Shaw,"Jason Schwartzman,Lena Dunham,Maya Rudolph,Reggie Watts,Susan Sarandon",
My Dog Tulip,2010,Not Rated,83 minutes,Drama,,,,Paul Fierlinger,Christopher Plummer,"$310,891"
My Dinner with Andre,1981,,110 minutes,,,,,Louis Malle,,
My Dog Skip,2000,PG,95 minutes,Drama,,,,Jay Russell,Diane Lane,"$35,795,319"
My Demon Lover,1987,,,,,,,,,
My Dead Boyfriend,2016,R,125 minutes,Comedy,,,,Anthony Edwards,"Heather Graham,Katherine Moennig,Scott Michael Foster,John Corbett",
My Days of Mercy,2017,R,103 minutes,Drama,,,,Tali Shalom Ezer,,
My Dad's Six Wives,2009,PG-13,,,,,,,,
My Date With Drew,2005,PG,,Documentary,,,,,,
La BÃ»che,2000,Not Rated,,Comedy,,,,,,
Bubot Niyar,2006,Not Rated,,Documentary,,,,,,
Bubbles,2017,,,Adventure,,,,Taika Waititi,,
Bubble Fiction: Boom or Bust,2007,Not Rated,,,,,,,"Abe Hiroshi,Hirosue Ryoko",
Bubble Boy,2001,PG-13,,Comedy,,,,Blair Hayes,,
Bubble,2006,R,,Drama,,,,Steven Soderbergh,,
Bu Zai Rang Ni Gu Dan,2011,,,Drama,,,,,,"$3,428,950"
Bubba Ho-Tep,2003,R,,Comedy,,,,,,"$1,492,895"
Bu-reo-jin hwa-sal,2011,,100 minutes,Drama,,,,,,"$22,852,811"
Bu Qi Er Yu,2017,,94 minutes,Romantic Comedy,,,,,,"$790,000"
Bu neng shuo de. mi mi,2007,,,Drama,,,,,,
Bu Cheng Wen Ti De Wen Ti,2016,,144 minutes,Drama,,,,Mei Feng,,"$670,000"
Bu er shen tan,2014,,,Action,,,,Tsz Ming Wong,,
Den brysomme mannen,2007,,,Comedy,,,,,,
"Brutti, sporchi e cattivi",2016,Not Rated,115 minutes,Drama,,,,Ettore Scola,,
My Daddyâ€™s in Heaven,2018,,,Comedy,,,,Waymon Boone,,
My Dad's A Soccer Mom,2015,Not Rated,90 minutes,Drama,,,,Randall Stevens,,
My Cousin Vinny,1992,R,,Comedy,,,,,Ralph Macchio,
My Christmas Dream,2017,,120 minutes,,,,,James Head,,
My Country My Country,2006,Not Rated,,Documentary,,,,Laura Poitras,,
My Cousin Rachel,2017,PG-13,106 minutes,Drama,,,,Roger Michell,"Rachel Weisz,Sam Claflin","$8,499,804"
My Brother's Wedding,2007,Not Rated,,,,,,,,
My Chauffeur,1986,,,Comedy,,,,,,
My Brother's Keeper,2011,,,Drama,,,,,,
My Brothers,2012,Not Rated,84 minutes,Drama,,,,Paul Fraser,"Timmy Creed,Paul Courtney,T.J. Griffin",
My Brother the Devil,2013,Not Rated,111 minutes,Drama,,,,Sally El Hosaini,"James Floyd,Aymen Hamdouchi,Anthony Welsh","$132,056"
My Brother,2007,PG-13,,Drama,,,,,,
Brutal Colors,2016,,,Horror,,,,Michael Conroy,,
Brutti e Cattivi,2017,,85 minutes,Comedy,,,,Cosimo Gomez,,"$573,695"
Brutal Beauty: Tales of the Rose City Rollers,2010,Not Rated,,Documentary,,,,,,
Bruiser,2000,,,,,,,George A. Romero,,
Bruised,2017,,,Action,,,,Nick Cassavetes,,
Las brujas de Zugarramurdi,2014,Not Rated,104 minutes,Black Comedy,,,,Alex de la Iglesia,"Hugo Silva,Secun de la Rosa,Mario Casas,Pepon Nieto,Carolina Bang,Terele PÃ¡vez,Jaime Ordonez,Santiago Segura,Carlos Areces,Macarena Gomez,Gabriel Delgado,Carmen Maura","$6,612,338"
BrÃ¼no,2009,R,82 minutes,Comedy,,,,Larry Charles,Sacha Baron Cohen,"$138,708,527"
Bruce Lee My Brother,2010,,129 minutes,Drama,,,,,,
Bruder vor Luder,2015,,88 minutes,Comedy,,,,Alexander Dydyna,,"$3,308,906"
Bruc. La llegenda,2010,,,,,,,,,"$1,566,101"
Brubaker,1980,R,131 minutes,Drama,,,,Bob Rafelson,Robert Redford,
The Browning Version,1994,,,Drama,,,,Mike Figgis,,
Brown's Requiem,2000,R,,Thriller/Suspense,,,,,,
Bruce Almighty,2003,PG-13,102 minutes,Comedy,,,,Tom Shadyac,Jim Carrey,"$484,468,608"
My Brilliant Career,1980,,,,,,,,,
My Boyfriend's Back,1993,PG-13,,,,,,,,
My Bollywood Bride,2007,,,Romantic Comedy,,,,,,
My Boss's Daughter,2003,PG-13,,Romantic Comedy,,,,David Zucker,"Ashton Kutcher,Tara Reid",
My Bodyguard,1980,,,Comedy,,,,Tony Bill,,
My Blueberry Nights,2008,PG-13,,Drama,,,,Wong Kar-wai,"Nora Jones,Jude Law","$22,198,996"
My Blue Heaven,1990,PG-13,95 minutes,Comedy,,,,Herbert Ross,Steve Martin,
My Blind Brother,2016,R,85 minutes,Romantic Comedy,,,,Sophie Goodhart,"Adam Scott,Nick Kroll,Jenny Slate,Zoe Kazan",
My Bloody Valentine,2009,R,101 minutes,Horror,,,,Patrick Lussier,"Jensen Ackles,Jaime King","$102,836,002"
My Big Fat Independent Movie,2005,R,,Comedy,,,,,,
My Best Friendâ€™s Wedding,2016,PG,91 minutes,Romantic Comedy,,,,Chen Feihong,Shu Qi,"$5,711,313"
My Big Fat Greek Wedding 2,2016,PG-13,94 minutes,Comedy,,,,Kirk Jones,"Nia Vardalos,John Corbett,Lainie Kazan,Gia Carides,Joey Fatone,Louis Mandylor,Andrea Martin,Michael Constantine,Elena Kampouris,Bess Meisler,Bruce Gray","$91,651,878"
Brown Willy,2016,,76 minutes,Comedy,,,,Brett Harvey,,"$3,645"
My Best Friend's Girl,2008,R,101 minutes,Comedy,,,,Howard Deutch,"Dane Cook,Kate Hudson","$34,787,111"
The Brown Bunny,2004,Not Rated,,Drama,,,,Vincent Gallo,,"$630,427"
My Big Fat Greek Wedding,2002,PG,95 minutes,Romantic Comedy,,,,Joel Zwick,"Nia Vardalos,John Corbett","$374,890,034"
My Best Friend's Wedding,1997,PG,103 minutes,Comedy,,,,P.J. Hogan,Julia Roberts,"$298,923,419"
Brown Sugar,2002,PG-13,,Romantic Comedy,,,,,,"$28,315,272"
The Brothers Warner,2010,,94 minutes,Documentary,,,,,,
Brother's War,2009,R,,,,,,,,
Brothers Three,2008,,,Thriller/Suspense,,,,Paul Kampf,"Patrick Wilson,Neal McDonough,Scott Michael Campbell,John Heard",
Brothers of the Head,2006,R,,,,,,,,
Brothers of the Wind,2015,,,Drama,,,,Gerardo Olivares,,"$2,342,338"
The Brothers,2001,R,,Comedy,,,,,,"$27,958,191"
The Brothers Solomon,2007,R,,Comedy,,,,,"Will Arnett,Will Forte",
A Brother's Kiss,1997,R,,Drama,,,,,,
Brother's Keeper,2015,PG-13,,Drama,,,,T.J. Amato,,
The Brothers McMullen,1995,R,,Drama,,,,Edward Burns,,
Brother's Justice,2011,,80 minutes,Comedy,,,,Dax Shepard,Dax Shepard,
My Bebe Love: #Kilig Pa More,2015,,,Romantic Comedy,,,,Jose Javier Reyes,,"$28,466"
My Best Friend Is a Vampire,1988,,,Comedy,,,,,,
My Beautiful Laundrette,1986,,97 minutes,Drama,,,,Stephen Frears,,
My Awkward Sexual Adventure,2012,,98 minutes,Comedy,,,,,,
My Baby's Daddy,2004,PG-13,,Comedy,,,,Cheryl Dunye,"Eddie Griffin,Anthony Anderson","$17,322,212"
My Avatar Horse,2012,,,,,,,,,"$100,000"
My Art,2018,Not Rated,87 minutes,Comedy,,,,Laurie Simmons,Laurie Simmons,
My Amityville Horror,2013,Not Rated,88 minutes,Documentary,,,,Eric Walter,,
My Architect,2003,Not Rated,,Documentary,,,,,,"$3,623,958"
Brothers in Arms,1989,,,Action,,,,George Bloom,Todd Allen,
MVP: Most Valuable Primate,2000,PG,93 minutes,Adventure,,,,,,
Muzzikanti,2016,,,Romantic Comedy,,,,Dusan Rapos,,"$115,185"
My All-American,2015,PG,118 minutes,Drama,,,,Angelo Pizzo,"Aaron Eckhart,Finn Wittrock,Robin Tunney,Sarah Bolger",
My Accomplice,2014,,,Romantic Comedy,,,,Charlie Weaver Rolfe,,$796
Brothers in Arms,2004,Not Rated,68 minutes,Documentary,,,,,,
The Brothers Grimsby,2016,R,82 minutes,Comedy,,,,Louis Leterrier,"Sacha Baron Cohen,Mark Strong,Rebel Wilson,PenÃ©lope Cruz,Isla Fisher,Gabourey Sidibe,Annabelle Wallis","$28,721,408"
Brotherly Love,2015,R,89 minutes,Drama,,,,Jamal Hill,"Keke Palmer,Cory Hardrict,Romeo Miller,Quincy Brown,Macy Gray",
Brothers,2009,R,105 minutes,Drama,,,,Jim Sheridan,"Tobey Maguire,Natalie Portman","$45,043,870"
The Brothers Bloom,2009,PG-13,114 minutes,Black Comedy,,,,,"Rachel Weisz,Adrien Brody,Mark Ruffalo","$5,531,756"
Brothers,2015,Not Rated,155 minutes,Action,,,,Karan Malhotra,"Akshay Kumar,Sidharth Malhotra","$17,856,688"
Brothers at War,2009,R,112 minutes,Documentary,,,,,,
The Brothers Grimm,2005,PG-13,120 minutes,Adventure,,,,Terry Gilliam,"Matt Damon,Heath Ledger,Lena Headey,Monica Bellucci","$105,299,638"
The Brotherhood V: Alumni,2008,R,,,,,,,,
Mutual Friends,2014,,85 minutes,Comedy,,,,Matthew Watts,,
Brotherhood,2016,,,Drama,,,,Noel Clarke,,"$4,632,334"
Brother Nature,2016,R,97 minutes,Comedy,,,,Oz Rodriguez,"Taran Killam,Bobby Moynihan,Gillian Jacobs,Bill Pullman,Sarah Baker",
Brotherhood,2011,R,79 minutes,Thriller/Suspense,,,,Will Canon,Trevor Morgan,
Mutual Appreciation,2006,R,,Comedy,,,,,,
Muumien joulu,2017,,82 minutes,Adventure,,,,Ira Carpelan,,"$65,194"
Brother to Brother,2004,Not Rated,,Drama,,,,,,
Mutluluk ZamanÄ±,2017,,106 minutes,Romantic Comedy,,,,Senol Sonmez,,"$1,801,717"
Mute,2018,,,Thriller/Suspense,,,,Duncan Jones,,
Mute Witness,1995,R,,Thriller/Suspense,,,,,"Mary Sudina,Fay Ripley,Evan Richards",
Mutiny on The Bounty,1962,,,,,,,,,
Mutantes: Punk Porn Feminism,2012,,92 minutes,Documentary,,,,,,
Mutants,2009,R,,,,,,,,
Mutant World,2015,,,Action,,,,David Winning,,
Mutluluk,2009,Not Rated,,Drama,,,,Abdullah Oguz,"Talat Bulut,Ã–zgÃ¼ Namal",
The Mutant Chronicles,2009,R,,Action,,,,,,
Mustang,2018,,,Drama,,,,Laure de Clermont-Tonnerre,,
Brother Bear 2,2006,G,,,,,,,,
Broome Street Boys,2017,,,Action,,,,Matteo Ribaudo,John Heard,
Brother,2001,R,,Thriller/Suspense,,,,,,
The Brother from Another Planet,1984,R,,Comedy,,,,,,
Mustang,2015,PG-13,94 minutes,Drama,,,,Deniz Gamze Erguven,"Gunes Nezihe Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,Ilayda Akdogan","$4,878,698"
Brother Bear,2003,G,,Adventure,,,,,,"$250,397,798"
The Brooklyn Heist,2009,PG-13,,,,,,,,
Brooklyn Rules,2007,R,,Drama,,,,,"Freddie Prinze, Jr.,Scott Caan,Jerry Ferrara",
Brooklyn Lobster,2005,R,,Drama,,,,,,
Brooklyn's Finest,2010,R,133 minutes,Thriller/Suspense,,,,Antoine Fuqua,,"$39,233,233"
Brooklyn Castle,2012,PG,102 minutes,Documentary,,,,Katie Dellamaggiore,,
Brooklyn Brothers Beat the Best,2012,Not Rated,97 minutes,Comedy,,,,Ryan O'Nan,"Michael Weston,Ryan O'Nan",
Brooklyn Bizarre,2015,Not Rated,98 minutes,Drama,,,,Etienne Faure,"Pierre Prieur,Raquel Nave",
The Brooklyn Banker,2016,R,98 minutes,Action,,,,Federico Castelluccio,Troy Garity,
The Brood,1979,R,92 minutes,Horror,,,,David Cronenberg,,
Les BronzÃ©s 3: amis pour la vie,2006,,,Comedy,,,,,,"$83,833,602"
Must Read After My Death,2009,,,Documentary,,,,,,
The Musketeer,2001,PG-13,,Adventure,,,,Peter Hyams,,
Must Love Dogs,2005,PG-13,98 minutes,Romantic Comedy,,,,Gary David Goldberg,"Diane Lane,John Cusack","$58,405,313"
A MusiCares Tribute To Paul McCartney,2015,,60 minutes,Concert/Performance,,,,,,
Brooklyn,2015,PG-13,113 minutes,Drama,,,,John Crowley,"Saoirse Ronan,Domhnall Gleeson,Emory Cohen","$62,076,141"
Musical Chairs,2012,PG-13,100 minutes,Drama,,,,Susan Seidelman,Leah Pipes,
Musica Latina,2006,,,,,,,,,
La Musica del Silenzio,2018,,,Drama,,,,Michael Radford,,"$80,997"
Music Within,2007,R,,Drama,,,,,Ron Livingston,
Music of the Heart,1999,PG,,Drama,,,,Wes Craven,Meryl Streep,
Music Makers: Beyond the Sea,2010,,,Documentary,,,,,,
The Music Man,1962,,,Musical,,,,,,
Music Makers: Ballad in Blue,2010,,,Documentary,,,,,,
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2016,PG-13,96 minutes,Documentary,,,,Morgan Neville,,"$1,317,830"
A Music Makers: A Man Called Adam,2010,,,Documentary,,,,,,
The Music Never Stopped,2011,PG,105 minutes,Drama,,,,Jim Kohlberg,"J.K. Simmons,Lou Taylor Pucci","$301,403"
Music from the Inside Out,2005,Not Rated,,Documentary,,,,,,
Bronx Gothic,2017,Not Rated,91 minutes,Documentary,,,,Andrew Rossi,,
A Bronx Tale,1993,R,,Drama,,,,Robert De Niro,Robert De Niro,
The Bronx Bull,2017,R,93 minutes,Drama,,,,Martin Guigui,"William Forsythe,Paul Sorvino,Penelope Ann Miller,Tom Sizemore,Mojean Aria,Joe Mantegna,Natasha Henstridge",
BrontÃ«,2010,,,Drama,,,,,,
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,2013,,,Documentary,,,,Laurent Malaquais,,
Bronenosets Potyomkin,1925,,75 minutes,,,,,,,
Bronson,2009,R,,Drama,,,,Nicolas Winding Refn,Tom Hardy,"$2,703,762"
Bronco Billy,1980,,,Adventure,,,,Clint Eastwood,Clint Eastwood,
Broken Vows,2016,R,90 minutes,Thriller/Suspense,,,,Bram Coppens,"Wes Bentley,Jaimie Alexander",
Bronco Belle,2017,,,Drama,,,,Khurram Longi,Emily Blunt,
The Broken Tower,2012,,99 minutes,Drama,,,,James Franco,,
Broken Vessels,1999,R,,Drama,,,,,,"$85,343"
Broken Sky,2006,Not Rated,,,,,,,,
Music From the Big House,2014,,,Documentary,,,,Bruce McDonald,,
Music From Another Room,1998,PG-13,,,,,,,,
Music Box,1989,,,Thriller/Suspense,,,,Costa-Gavras,,
Les Muses Orphelines,2000,Not Rated,,,,,,,,
Museum Hours,2013,Not Rated,106 minutes,Drama,,,,Jem Cohen,,"$542,534"
The Muse,1999,PG-13,97 minutes,Comedy,,,,Albert Brooks,"Albert Brooks,Sharon Stone,Andie MacDowell",
Music and Lyrics,2007,PG-13,104 minutes,Romantic Comedy,,,,Marc Lawrence,"Hugh Grant,Drew Barrymore","$146,196,885"
Muscle Shoals,2013,PG,111 minutes,Documentary,,,,Greg 'Freedy' Camalier,,
Musaranas,2014,,91 minutes,Horror,,,,Juanfer Andres,,"$10,876"
Musa,2017,,107 minutes,Horror,,,,Jaume Balaguero,,"$243,233"
Murphy's Romance,1985,,,Romantic Comedy,,,,,,
Murphy's Law,1986,,,Action,,,,Jack Lee Thompson,,
Broken Land,2014,,,Documentary,,,,Stephanie Barbey,,
MURPH: The Protector,2013,PG,79 minutes,Documentary,,,,Scott Mactavish,,
The Broken Key,2016,,120 minutes,Thriller/Suspense,,,,Louis Nero,,"$113,853"
Broken Horses,2015,R,101 minutes,Action,,,,Vidhu Vinod Chopra,,"$3,471"
Broken Hill,2009,PG,,Drama,,,,,"Luke Arnold,Alexa Vega",
The Broken Hearts Club: A Romantic Comedy,2000,R,,Comedy,,,,,,"$2,022,442"
Broken Faith,2012,R,,Action,,,,Ricki Holmes,,
Broken Flowers,2005,R,106 minutes,Romantic Comedy,,,,Jim Jarmusch,Bill Murray,"$40,744,960"
Broken English,1997,PG-13,,Drama,,,,,,
Broken Embraces,2010,,,Drama,,,,,,
Broken English,2007,PG-13,,Romantic Comedy,,,,,Parker Posey,"$1,944,150"
Murmur of the Heart,1971,,,,,,,,,
Muriel's Wedding,1995,R,,Comedy,,,,P.J. Hogan,,
The Murders of Brandywine Theater,2014,,71 minutes,Drama,,,,,,
Broken City,2013,R,108 minutes,Thriller/Suspense,,,,Allen Hughes,"Mark Wahlberg,Russell Crowe,Catherine Zeta-Jones","$34,480,045"
Murders in the Zoo,1933,,62 minutes,Horror,,,,,,
Murders in the Rue Morgue,2012,,,Horror,,,,Gordon Hessler,,
Murder She Baked: A Peach Cobbler Mystery,2017,Not Rated,84 minutes,Drama,,,,Kristoffer Tabori,,
Murderous Maids,2002,Not Rated,,,,,,,,
Murderball,2005,PG-13,,Documentary,,,,,,"$1,772,979"
Murder She Baked: A Deadly Recipe,2017,Not Rated,86 minutes,Drama,,,,Kristoffer Tabori,,
Murder She Baked: A Chocolate Chip Cookie Mystery,2016,,,,,,,Mark Jean,,
Murder on the Orient Express,1974,,87 minutes,Thriller/Suspense,,,,Sidney Lumet,,"$35,755,250"
Murder of the Inugami Clan,2006,,,,,,,,,
Broken Bridges,2006,PG-13,,Drama,,,,,,
Broken Arrow,2007,,93 minutes,Western,,,,Delmer Daves,,
The Broken Circle Breakdown,2013,Not Rated,110 minutes,Drama,,,,Felix Van Groeningen,"Johan Heldenbergh,Veerle Baetens","$3,985,226"
Broken Arrow,1996,R,108 minutes,Action,,,,John Woo,"John Travolta,Christian Slater","$148,345,997"
Broken,2017,,97 minutes,Drama,,,,Tarry Mortlock,,"$538,521"
Murder on the Orient Express,2017,PG-13,114 minutes,Drama,,,,Kenneth Branagh,"Kenneth Branagh,PenÃ©lope Cruz,Willem Dafoe,Judi Dench,Johnny Depp,Josh Gad,Leslie Odom Jr.,Michelle Pfeiffer,Daisy Ridley","$349,213,586"
Broken,2013,Not Rated,90 minutes,Drama,,,,Rufus Norris,"Tim Roth,Eloise Laurence","$1,212,304"
Broken,2007,,,Thriller/Suspense,,,,,,
Broke,2016,,105 minutes,Drama,,,,Heath Davis,,"$18,616"
Broers,2017,,105 minutes,Adventure,,,,,,"$76,217"
Brokedown Palace,1999,PG-13,,Drama,,,,,,"$11,115,766"
Broer,2015,,,Comedy,,,,Geoffrey Enthoven,,"$508,647"
BrÃ¸dre,2014,,100 minutes,Documentary,,,,Aslaug Holm,,$917
BrÃ¸dre,2005,R,,Drama,,,,,"Connie Nielsen,Ulrich Thomsen,Nikolaj Lie Kaas",
The Murder of King Tutankhamen,2011,,,Drama,,,,,,
Brokeback Mountain,2005,R,134 minutes,Drama,,,,Ang Lee,,"$177,012,173"
A Murder of Crows,1998,,,,,,,Rowdy Harrington,,
Murder of a Cat,2014,Not Rated,101 minutes,Comedy,,,,Gillian Greene,"Fran Kranz,Nikki Reed,J.K. Simmons,Blythe Danner,Greg Kinnear",
A Murder in the Park,2015,PG-13,93 minutes,Documentary,,,,Shawn Rech,Dexter Hammett,
Murder in the Dark,2013,R,,Thriller/Suspense,,,,Dagen Merrill,,
Murder in the First,1995,R,,Drama,,,,,,
A Murder in Mansfield,2017,,88 minutes,Documentary,,,,Barbara Kopple,,
The Murder Game,2007,,,Thriller/Suspense,,,,,,
Murder in Fashion,2010,R,,Drama,,,,,,
Murder Eleven,2013,R,87 minutes,Thriller/Suspense,,,,Jim Klock,,
Murder.com,2008,R,,Thriller/Suspense,,,,,,
Murder by Death,1976,,,Comedy,,,,,,
Broderskab,2010,Not Rated,,Drama,,,,,,
Murder by Numbers,2002,R,119 minutes,Thriller/Suspense,,,,Barbet Schroeder,Sandra Bullock,"$56,643,267"
"Broadway: The Golden Age, by the Legends Who Were There",2004,Not Rated,,Documentary,,,,,,
The Broadway Melody,1929,,100 minutes,Musical,,,,,,"$4,358,000"
Broadway Idiot,2013,Not Rated,80 minutes,Documentary,,,,Doug Hamilton,,
Broadway Danny Rose,1984,,,Comedy,,,,Woody Allen,,
Broadway Bound,1992,,,,,,,Paul Bogart,,
Broadway: Beyond the Golden Age,2017,,,Documentary,,,,Rick McKay,,
Broadcasting Christmas,2017,,84 minutes,Romantic Comedy,,,,Peter Sullivan,,
The Brittany Murphy Story,2014,,,Drama,,,,Joe Menendez,Amanda Fuller,
The Brits are Coming,2016,,,Comedy,,,,James Oakley,,
Broadcast News,1987,R,,Comedy,,,,James L. Brooks,William Hurt,"$67,331,309"
BRO',2012,R,89 minutes,Action,,,,Nick Parada,"Danny Trejo,Will Chavez,Beau Manley,Colin 'Scummy' Morrison",
Murder at Honeymoon Hotel,2016,,97 minutes,Thriller/Suspense,,,,Jang Cheol-soo,,"$1,070,000"
British Museum Presents: Hokusai,2017,,87 minutes,Documentary,,,,,,"$217,915"
Murder 3,2013,Not Rated,124 minutes,Thriller/Suspense,,,,Vishesh Bhatt,"Randeep Hooda,Aditi Rao Hydari,Sara Loren","$3,200,000"
Murder at 1600,1997,R,,Thriller/Suspense,,,,Dwight H. Little,"Wesley Snipes,Diane Lane",
Murder 2,2011,,,Thriller/Suspense,,,,,,"$15,559,302"
Muran,2011,Not Rated,,,,,,,,
Britannia Hospital,1983,,,Drama,,,,,,
The Muppets Take Manhattan,1984,,,Comedy,,,,Frank Oz,,
Le Brio,2017,,95 minutes,Drama,,,,Yvan Attal,,"$5,600,000"
The Brink's Job,1978,,,Comedy,,,,William Friedkin,,
The Muppets,2011,PG,98 minutes,Adventure,,,,James Bobin,"Jason Segel,Amy Adams,Steve Whitmire,Dave Goelz,Bill Barretta,David Rudman,Matt Vogel","$160,971,922"
Muppets Most Wanted,2014,PG,106 minutes,Adventure,,,,James Bobin,"Steve Whitmire,Eric Jacobson,Dave Goelz","$79,312,301"
