id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
327,My Life Directed by Nicolas Winding Refn,2015,PG-13,59 minutes,Documentary,,,,Liv Corfixen,,
328,My Life as Abraham Lincoln,2012,,91 minutes,Comedy,,,,Shari Berman,Caroline Luft,
329,My Life,1993,PG-13,,Drama,,,,,Nicole Kidman,
330,My Last Day Without You,2013,Not Rated,90 minutes,Romantic Comedy,,,,Stefan C. Schaefer,"Ken Duken,Nicole Beharie",
331,My Left Foot: The Story of Christy Brown,1989,R,,Drama,,,,Jim Sheridan,Daniel Day-Lewis,
332,My King My Father,2017,,84 minutes,Adventure,,,,,,"$2,010,000"
333,My Kingdom,2002,Not Rated,,,,,,,,
334,My Kid Could Paint That,2007,PG-13,,Documentary,,,,,,
335,My Heroes Have Always Been Cowboys,1991,PG,,Drama,,,,Stuart Rosenberg,,
336,My iz budushego,2008,,,Adventure,,,,,,"$8,623,914"
337,My Girlfriend's Boyfriend,2010,PG,,,,,,,,
338,My Girlfriend's Back,2010,PG-13,,Romantic Comedy,,,,,,
339,My Girl 2,1994,PG,,Comedy,,,,Howard Zieff,,
340,Building Star Trek,2016,,,,,,,,,
341,My Girl,1991,PG-13,102 minutes,Comedy,,,,Howard Zieff,,
342,Building Jerusalem,2015,Not Rated,,Documentary,,,,James Erskine,,"$134,245"
343,Building Hope,2011,Not Rated,71 minutes,Documentary,,,,Turk Pipkin,,
344,Bugsy,1991,R,,Drama,,,,Barry Levinson,,
345,Bugs Bunny Film Fest,1998,,,Comedy,,,,,,
346,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,G,77 minutes,Adventure,,,,Friz Freleng,,
347,Bugs,2017,Not Rated,74 minutes,Documentary,,,,Andreas Johnsen,,
348,A Bug's Life,1998,G,96 minutes,Adventure,,,,John Lasseter,Dave Foley,"$363,095,319"
349,Buffy the Vampire Slayer,1992,PG-13,86 minutes,Horror,,,,,,
350,Bug,2007,R,102 minutes,Drama,,,,William Friedkin,,"$8,302,995"
351,Buffalo Soldiers,2003,R,,Comedy,,,,,Joaquin Phoenix,
352,Buffalo Girls,2012,Not Rated,63 minutes,Documentary,,,,Todd Kellstein,,
353,Bugs! (IMAX),2003,Not Rated,40 minutes,Documentary,,,,,Judi Dench,"$29,196,944"
354,Buffalo '66,1998,R,,Comedy,,,,Vincent Gallo,,
355,El BÃºfalo de la Noche,2009,NC-17,,Drama,,,,,,"$1,553,198"
356,My Giant,1998,PG,103 minutes,Comedy,,,,Michael Lehmann,,
357,My Generation,2017,,85 minutes,Documentary,,,,David Batty,,"$361,901"
358,My Funny Valentine,2014,,,Romantic Comedy,,,,John Bevilacqua,,
359,My Friends Tigger & Pooh - Super Sleuth Christmas Movie,2007,,,Musical,,,,,,
360,My Friends Tigger and Pooh: Super Duper Super Sleuths,2010,,,Adventure,,,,,,
361,My Friends Tigger & Pooh - Hundred Acre Wood Haunt,2008,,,,,,,,,
362,My Friends Tigger & Pooh - Friendly Tails,2008,,,Musical,,,,,Jim Cummings,
363,My Friends Tigger And Pooh: Bedtime With Pooh,2010,,,Adventure,,,,,,
364,My Friend Pinto,2011,,115 minutes,Comedy,,,,Raghav Dhar,Prateik Babbar,
365,My Friend Bernard,2012,PG,,,,,,,,
366,My Fight/Your Fight,2015,,,Drama,,,,,,
367,My Flesh and Blood,2003,Not Rated,,,,,,,,
368,My First Wedding,2006,PG-13,,Romantic Comedy,,,,,"Rachael Leigh Cook,Kenny Doughty",
369,My Friend Dahmer,2017,R,107 minutes,Drama,,,,Marc Meyers,"Ross Lynch,Anne Heche,Alex Wolff,Vincent Kartheiser",
370,My First Mister,2001,R,,Drama,,,,,,
371,Buena Vista Social Clubâ€”Adios,2017,PG,111 minutes,Documentary,,,,Lucy Walker,,"$157,187"
372,Buena Vista Social Club,1999,G,,Documentary,,,,Wim Wenders,,"$19,809,190"
373,Budz House,2011,R,,Comedy,,,,,,
374,A Buddy Story,2012,,84 minutes,Drama,,,,Marc Erlbaum,,
375,Buddymoon,2016,Not Rated,80 minutes,Comedy,,,,Alex Simmons,"David Giuntoli,Flula Borg",
376,The Buddy Holly Story,1978,,,Drama,,,,,Gary Busey,
377,The Buddy System,1984,,,Drama,,,,,Susan Sarandon,
378,Budrus,2010,Not Rated,78 minutes,Documentary,,,,Julia Bacha,,"$86,748"
379,Buddy Cops,2016,,,Action,,,,Peter Chih,,"$4,570,000"
380,Buddy Buddy,1981,,,Comedy,,,,Billy Wilder,,
381,Buddy Boy,2000,R,,Thriller/Suspense,,,,,,
382,Buddy,1997,PG,84 minutes,Adventure,,,,,,
383,Buddies in India,2017,Not Rated,99 minutes,Action,,,,Wang Baoqiang,,"$108,878,601"
384,Buddhaâ€™s Little Finger,2016,Not Rated,84 minutes,Drama,,,,Tony Pemberton,Toby Kebbell,
385,Buddha Mar Gaya,2007,Not Rated,,Comedy,,,,,,
386,My Favorite Year,1982,,,Comedy,,,,,,
387,My Fellow Americans,1996,PG-13,102 minutes,Comedy,,,,Peter Segal,"Jack Lemmon,James Garner,Dan Aykroyd",
388,My Favorite Hitler Youth: Just Like You & Me,2006,Not Rated,,,,,,,,
389,My Favorite Brunette,1947,,87 minutes,,,,,Elliott Nugent,,
390,My Father's Angel,2000,Not Rated,86 minutes,,,,,,,
391,My Father Jack,2016,,90 minutes,Action,,,,Tonino Zangardi,,"$231,833"
392,My Father the Hero,1994,PG,,Comedy,,,,Steve Miner,Katherine Heigl,
393,"My Father, The Genius",2007,,,Documentary,,,,,,
394,My Favorite Martian,1999,PG,94 minutes,Comedy,,,,Donald Petrie,Jeff Daniels,
395,"My Father, Die",2017,Not Rated,90 minutes,Action,,,,Sean Brosnan,"Joe Anderson,Gary Stretch,Candace Smith",
396,My Father and the Man in Black,2013,Not Rated,87 minutes,Documentary,,,,Jonathan Holiff,,
397,My Father,2007,,,Drama,,,,,,"$4,545,849"
398,My Family,1995,R,,Drama,,,,Gregory Nava,,
399,My Fair Lady,2011,,,Musical,,,,,,
400,Buddha,2011,,,Drama,,,,,,"$3,734,904"
401,My Fair Lady,1964,G,,Musical,,,,George Cukor,,"$72,070,955"
402,Bucky and the Squirrels,2013,PG,82 minutes,Adventure,,,,Allan Katz,,
403,Bucky Larson: Born to Be a Star,2011,R,96 minutes,Comedy,,,,Tom Brady,Nick Swardson,
404,Buckout Road,2017,,,Horror,,,,Matthew Currie Holmes,,
405,Buckaroo: The Movie,2005,PG-13,,Drama,,,,,,
406,Buck Rogers in the 25th Century,1979,,,Adventure,,,,,,
407,Buck Rogers,2011,,,Adventure,,,,,,
408,Buck Privates,1941,,84 minutes,Comedy,,,,,,
409,I buchi neri,1995,Not Rated,,Romantic Comedy,,,,Pappi Corsicato,,
410,Buck,2011,PG,88 minutes,Documentary,,,,Cindy Meehl,,"$4,523,972"
411,The Bucket List,2007,PG-13,97 minutes,Comedy,,,,Rob Reiner,"Jack Nicholson,Morgan Freeman","$174,807,445"
412,My Ex and Whys,2016,,,Romantic Comedy,,,,Cathy Garcia-Molina,,"$79,431"
413,My Ex-Ex,2015,Not Rated,100 minutes,Romantic Comedy,,,,Nathaniel Warsh,"Andre Bharti,Katherine Barrell,Ray Galletti",
414,My Dog the Space Traveler,2013,PG,,Adventure,,,,,,
415,My Dog the Champion,2013,G,,Drama,,,,Kevin Nations,,
416,My Entire High School Sinking Into the Sea,2017,PG-13,77 minutes,Adventure,,,,Dash Shaw,"Jason Schwartzman,Lena Dunham,Maya Rudolph,Reggie Watts,Susan Sarandon",
417,My Dog Tulip,2010,Not Rated,83 minutes,Drama,,,,Paul Fierlinger,Christopher Plummer,"$310,891"
418,My Dinner with Andre,1981,,110 minutes,,,,,Louis Malle,,
419,My Dog Skip,2000,PG,95 minutes,Drama,,,,Jay Russell,Diane Lane,"$35,795,319"
420,My Demon Lover,1987,,,,,,,,,
421,My Dead Boyfriend,2016,R,125 minutes,Comedy,,,,Anthony Edwards,"Heather Graham,Katherine Moennig,Scott Michael Foster,John Corbett",
422,My Days of Mercy,2017,R,103 minutes,Drama,,,,Tali Shalom Ezer,,
423,My Dad's Six Wives,2009,PG-13,,,,,,,,
424,My Date With Drew,2005,PG,,Documentary,,,,,,
425,La BÃ»che,2000,Not Rated,,Comedy,,,,,,
426,Bubot Niyar,2006,Not Rated,,Documentary,,,,,,
427,Bubbles,2017,,,Adventure,,,,Taika Waititi,,
428,Bubble Fiction: Boom or Bust,2007,Not Rated,,,,,,,"Abe Hiroshi,Hirosue Ryoko",
429,Bubble Boy,2001,PG-13,,Comedy,,,,Blair Hayes,,
430,Bubble,2006,R,,Drama,,,,Steven Soderbergh,,
431,Bu Zai Rang Ni Gu Dan,2011,,,Drama,,,,,,"$3,428,950"
432,Bubba Ho-Tep,2003,R,,Comedy,,,,,,"$1,492,895"
433,Bu-reo-jin hwa-sal,2011,,100 minutes,Drama,,,,,,"$22,852,811"
434,Bu Qi Er Yu,2017,,94 minutes,Romantic Comedy,,,,,,"$790,000"
435,Bu neng shuo de. mi mi,2007,,,Drama,,,,,,
436,Bu Cheng Wen Ti De Wen Ti,2016,,144 minutes,Drama,,,,Mei Feng,,"$670,000"
437,Bu er shen tan,2014,,,Action,,,,Tsz Ming Wong,,
438,Den brysomme mannen,2007,,,Comedy,,,,,,
439,"Brutti, sporchi e cattivi",2016,Not Rated,115 minutes,Drama,,,,Ettore Scola,,
440,My Daddyâ€™s in Heaven,2018,,,Comedy,,,,Waymon Boone,,
441,My Dad's A Soccer Mom,2015,Not Rated,90 minutes,Drama,,,,Randall Stevens,,
442,My Cousin Vinny,1992,R,,Comedy,,,,,Ralph Macchio,
443,My Christmas Dream,2017,,120 minutes,,,,,James Head,,
444,My Country My Country,2006,Not Rated,,Documentary,,,,Laura Poitras,,
445,My Cousin Rachel,2017,PG-13,106 minutes,Drama,,,,Roger Michell,"Rachel Weisz,Sam Claflin","$8,499,804"
446,My Brother's Wedding,2007,Not Rated,,,,,,,,
447,My Chauffeur,1986,,,Comedy,,,,,,
448,My Brother's Keeper,2011,,,Drama,,,,,,
449,My Brothers,2012,Not Rated,84 minutes,Drama,,,,Paul Fraser,"Timmy Creed,Paul Courtney,T.J. Griffin",
450,My Brother the Devil,2013,Not Rated,111 minutes,Drama,,,,Sally El Hosaini,"James Floyd,Aymen Hamdouchi,Anthony Welsh","$132,056"
451,My Brother,2007,PG-13,,Drama,,,,,,
452,Brutal Colors,2016,,,Horror,,,,Michael Conroy,,
453,Brutti e Cattivi,2017,,85 minutes,Comedy,,,,Cosimo Gomez,,"$573,695"
454,Brutal Beauty: Tales of the Rose City Rollers,2010,Not Rated,,Documentary,,,,,,
455,Bruiser,2000,,,,,,,George A. Romero,,
456,Bruised,2017,,,Action,,,,Nick Cassavetes,,
457,Las brujas de Zugarramurdi,2014,Not Rated,104 minutes,Black Comedy,,,,Alex de la Iglesia,"Hugo Silva,Secun de la Rosa,Mario Casas,Pepon Nieto,Carolina Bang,Terele PÃ¡vez,Jaime Ordonez,Santiago Segura,Carlos Areces,Macarena Gomez,Gabriel Delgado,Carmen Maura","$6,612,338"
458,BrÃ¼no,2009,R,82 minutes,Comedy,,,,Larry Charles,Sacha Baron Cohen,"$138,708,527"
459,Bruce Lee My Brother,2010,,129 minutes,Drama,,,,,,
460,Bruder vor Luder,2015,,88 minutes,Comedy,,,,Alexander Dydyna,,"$3,308,906"
461,Bruc. La llegenda,2010,,,,,,,,,"$1,566,101"
462,Brubaker,1980,R,131 minutes,Drama,,,,Bob Rafelson,Robert Redford,
463,The Browning Version,1994,,,Drama,,,,Mike Figgis,,
464,Brown's Requiem,2000,R,,Thriller/Suspense,,,,,,
465,Bruce Almighty,2003,PG-13,102 minutes,Comedy,,,,Tom Shadyac,Jim Carrey,"$484,468,608"
466,My Brilliant Career,1980,,,,,,,,,
467,My Boyfriend's Back,1993,PG-13,,,,,,,,
468,My Bollywood Bride,2007,,,Romantic Comedy,,,,,,
469,My Boss's Daughter,2003,PG-13,,Romantic Comedy,,,,David Zucker,"Ashton Kutcher,Tara Reid",
470,My Bodyguard,1980,,,Comedy,,,,Tony Bill,,
471,My Blueberry Nights,2008,PG-13,,Drama,,,,Wong Kar-wai,"Nora Jones,Jude Law","$22,198,996"
472,My Blue Heaven,1990,PG-13,95 minutes,Comedy,,,,Herbert Ross,Steve Martin,
473,My Blind Brother,2016,R,85 minutes,Romantic Comedy,,,,Sophie Goodhart,"Adam Scott,Nick Kroll,Jenny Slate,Zoe Kazan",
474,My Bloody Valentine,2009,R,101 minutes,Horror,,,,Patrick Lussier,"Jensen Ackles,Jaime King","$102,836,002"
475,My Big Fat Independent Movie,2005,R,,Comedy,,,,,,
476,My Best Friendâ€™s Wedding,2016,PG,91 minutes,Romantic Comedy,,,,Chen Feihong,Shu Qi,"$5,711,313"
477,My Big Fat Greek Wedding 2,2016,PG-13,94 minutes,Comedy,,,,Kirk Jones,"Nia Vardalos,John Corbett,Lainie Kazan,Gia Carides,Joey Fatone,Louis Mandylor,Andrea Martin,Michael Constantine,Elena Kampouris,Bess Meisler,Bruce Gray","$91,651,878"
478,Brown Willy,2016,,76 minutes,Comedy,,,,Brett Harvey,,"$3,645"
479,My Best Friend's Girl,2008,R,101 minutes,Comedy,,,,Howard Deutch,"Dane Cook,Kate Hudson","$34,787,111"
480,The Brown Bunny,2004,Not Rated,,Drama,,,,Vincent Gallo,,"$630,427"
481,My Big Fat Greek Wedding,2002,PG,95 minutes,Romantic Comedy,,,,Joel Zwick,"Nia Vardalos,John Corbett","$374,890,034"
482,My Best Friend's Wedding,1997,PG,103 minutes,Comedy,,,,P.J. Hogan,Julia Roberts,"$298,923,419"
483,Brown Sugar,2002,PG-13,,Romantic Comedy,,,,,,"$28,315,272"
484,The Brothers Warner,2010,,94 minutes,Documentary,,,,,,
485,Brother's War,2009,R,,,,,,,,
486,Brothers Three,2008,,,Thriller/Suspense,,,,Paul Kampf,"Patrick Wilson,Neal McDonough,Scott Michael Campbell,John Heard",
487,Brothers of the Head,2006,R,,,,,,,,
488,Brothers of the Wind,2015,,,Drama,,,,Gerardo Olivares,,"$2,342,338"
489,The Brothers,2001,R,,Comedy,,,,,,"$27,958,191"
490,The Brothers Solomon,2007,R,,Comedy,,,,,"Will Arnett,Will Forte",
491,A Brother's Kiss,1997,R,,Drama,,,,,,
492,Brother's Keeper,2015,PG-13,,Drama,,,,T.J. Amato,,
493,The Brothers McMullen,1995,R,,Drama,,,,Edward Burns,,
494,Brother's Justice,2011,,80 minutes,Comedy,,,,Dax Shepard,Dax Shepard,
495,My Bebe Love: #Kilig Pa More,2015,,,Romantic Comedy,,,,Jose Javier Reyes,,"$28,466"
496,My Best Friend Is a Vampire,1988,,,Comedy,,,,,,
497,My Beautiful Laundrette,1986,,97 minutes,Drama,,,,Stephen Frears,,
498,My Awkward Sexual Adventure,2012,,98 minutes,Comedy,,,,,,
499,My Baby's Daddy,2004,PG-13,,Comedy,,,,Cheryl Dunye,"Eddie Griffin,Anthony Anderson","$17,322,212"
500,My Avatar Horse,2012,,,,,,,,,"$100,000"
501,My Art,2018,Not Rated,87 minutes,Comedy,,,,Laurie Simmons,Laurie Simmons,
502,My Amityville Horror,2013,Not Rated,88 minutes,Documentary,,,,Eric Walter,,
503,My Architect,2003,Not Rated,,Documentary,,,,,,"$3,623,958"
504,Brothers in Arms,1989,,,Action,,,,George Bloom,Todd Allen,
505,MVP: Most Valuable Primate,2000,PG,93 minutes,Adventure,,,,,,
506,Muzzikanti,2016,,,Romantic Comedy,,,,Dusan Rapos,,"$115,185"
507,My All-American,2015,PG,118 minutes,Drama,,,,Angelo Pizzo,"Aaron Eckhart,Finn Wittrock,Robin Tunney,Sarah Bolger",
508,My Accomplice,2014,,,Romantic Comedy,,,,Charlie Weaver Rolfe,,$796
509,Brothers in Arms,2004,Not Rated,68 minutes,Documentary,,,,,,
510,The Brothers Grimsby,2016,R,82 minutes,Comedy,,,,Louis Leterrier,"Sacha Baron Cohen,Mark Strong,Rebel Wilson,PenÃ©lope Cruz,Isla Fisher,Gabourey Sidibe,Annabelle Wallis","$28,721,408"
511,Brotherly Love,2015,R,89 minutes,Drama,,,,Jamal Hill,"Keke Palmer,Cory Hardrict,Romeo Miller,Quincy Brown,Macy Gray",
512,Brothers,2009,R,105 minutes,Drama,,,,Jim Sheridan,"Tobey Maguire,Natalie Portman","$45,043,870"
513,The Brothers Bloom,2009,PG-13,114 minutes,Black Comedy,,,,,"Rachel Weisz,Adrien Brody,Mark Ruffalo","$5,531,756"
514,Brothers,2015,Not Rated,155 minutes,Action,,,,Karan Malhotra,"Akshay Kumar,Sidharth Malhotra","$17,856,688"
515,Brothers at War,2009,R,112 minutes,Documentary,,,,,,
516,The Brothers Grimm,2005,PG-13,120 minutes,Adventure,,,,Terry Gilliam,"Matt Damon,Heath Ledger,Lena Headey,Monica Bellucci","$105,299,638"
517,The Brotherhood V: Alumni,2008,R,,,,,,,,
518,Mutual Friends,2014,,85 minutes,Comedy,,,,Matthew Watts,,
519,Brotherhood,2016,,,Drama,,,,Noel Clarke,,"$4,632,334"
520,Brother Nature,2016,R,97 minutes,Comedy,,,,Oz Rodriguez,"Taran Killam,Bobby Moynihan,Gillian Jacobs,Bill Pullman,Sarah Baker",
521,Brotherhood,2011,R,79 minutes,Thriller/Suspense,,,,Will Canon,Trevor Morgan,
522,Mutual Appreciation,2006,R,,Comedy,,,,,,
523,Muumien joulu,2017,,82 minutes,Adventure,,,,Ira Carpelan,,"$65,194"
524,Brother to Brother,2004,Not Rated,,Drama,,,,,,
525,Mutluluk ZamanÄ±,2017,,106 minutes,Romantic Comedy,,,,Senol Sonmez,,"$1,801,717"
526,Mute,2018,,,Thriller/Suspense,,,,Duncan Jones,,
527,Mute Witness,1995,R,,Thriller/Suspense,,,,,"Mary Sudina,Fay Ripley,Evan Richards",
528,Mutiny on The Bounty,1962,,,,,,,,,
529,Mutantes: Punk Porn Feminism,2012,,92 minutes,Documentary,,,,,,
530,Mutants,2009,R,,,,,,,,
531,Mutant World,2015,,,Action,,,,David Winning,,
532,Mutluluk,2009,Not Rated,,Drama,,,,Abdullah Oguz,"Talat Bulut,Ã–zgÃ¼ Namal",
533,The Mutant Chronicles,2009,R,,Action,,,,,,
534,Mustang,2018,,,Drama,,,,Laure de Clermont-Tonnerre,,
535,Brother Bear 2,2006,G,,,,,,,,
536,Broome Street Boys,2017,,,Action,,,,Matteo Ribaudo,John Heard,
537,Brother,2001,R,,Thriller/Suspense,,,,,,
538,The Brother from Another Planet,1984,R,,Comedy,,,,,,
539,Mustang,2015,PG-13,94 minutes,Drama,,,,Deniz Gamze Erguven,"Gunes Nezihe Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,Ilayda Akdogan","$4,878,698"
540,Brother Bear,2003,G,,Adventure,,,,,,"$250,397,798"
541,The Brooklyn Heist,2009,PG-13,,,,,,,,
542,Brooklyn Rules,2007,R,,Drama,,,,,"Freddie Prinze, Jr.,Scott Caan,Jerry Ferrara",
543,Brooklyn Lobster,2005,R,,Drama,,,,,,
544,Brooklyn's Finest,2010,R,133 minutes,Thriller/Suspense,,,,Antoine Fuqua,,"$39,233,233"
545,Brooklyn Castle,2012,PG,102 minutes,Documentary,,,,Katie Dellamaggiore,,
546,Brooklyn Brothers Beat the Best,2012,Not Rated,97 minutes,Comedy,,,,Ryan O'Nan,"Michael Weston,Ryan O'Nan",
547,Brooklyn Bizarre,2015,Not Rated,98 minutes,Drama,,,,Etienne Faure,"Pierre Prieur,Raquel Nave",
548,The Brooklyn Banker,2016,R,98 minutes,Action,,,,Federico Castelluccio,Troy Garity,
549,The Brood,1979,R,92 minutes,Horror,,,,David Cronenberg,,
550,Les BronzÃ©s 3: amis pour la vie,2006,,,Comedy,,,,,,"$83,833,602"
551,Must Read After My Death,2009,,,Documentary,,,,,,
552,The Musketeer,2001,PG-13,,Adventure,,,,Peter Hyams,,
553,Must Love Dogs,2005,PG-13,98 minutes,Romantic Comedy,,,,Gary David Goldberg,"Diane Lane,John Cusack","$58,405,313"
554,A MusiCares Tribute To Paul McCartney,2015,,60 minutes,Concert/Performance,,,,,,
555,Brooklyn,2015,PG-13,113 minutes,Drama,,,,John Crowley,"Saoirse Ronan,Domhnall Gleeson,Emory Cohen","$62,076,141"
556,Musical Chairs,2012,PG-13,100 minutes,Drama,,,,Susan Seidelman,Leah Pipes,
557,Musica Latina,2006,,,,,,,,,
558,La Musica del Silenzio,2018,,,Drama,,,,Michael Radford,,"$80,997"
559,Music Within,2007,R,,Drama,,,,,Ron Livingston,
560,Music of the Heart,1999,PG,,Drama,,,,Wes Craven,Meryl Streep,
561,Music Makers: Beyond the Sea,2010,,,Documentary,,,,,,
562,The Music Man,1962,,,Musical,,,,,,
563,Music Makers: Ballad in Blue,2010,,,Documentary,,,,,,
564,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2016,PG-13,96 minutes,Documentary,,,,Morgan Neville,,"$1,317,830"
565,A Music Makers: A Man Called Adam,2010,,,Documentary,,,,,,
566,The Music Never Stopped,2011,PG,105 minutes,Drama,,,,Jim Kohlberg,"J.K. Simmons,Lou Taylor Pucci","$301,403"
567,Music from the Inside Out,2005,Not Rated,,Documentary,,,,,,
568,Bronx Gothic,2017,Not Rated,91 minutes,Documentary,,,,Andrew Rossi,,
569,A Bronx Tale,1993,R,,Drama,,,,Robert De Niro,Robert De Niro,
570,The Bronx Bull,2017,R,93 minutes,Drama,,,,Martin Guigui,"William Forsythe,Paul Sorvino,Penelope Ann Miller,Tom Sizemore,Mojean Aria,Joe Mantegna,Natasha Henstridge",
571,BrontÃ«,2010,,,Drama,,,,,,
572,Bronies: The Extremely Unexpected Adult Fans of My Little Pony,2013,,,Documentary,,,,Laurent Malaquais,,
573,Bronenosets Potyomkin,1925,,75 minutes,,,,,,,
574,Bronson,2009,R,,Drama,,,,Nicolas Winding Refn,Tom Hardy,"$2,703,762"
575,Bronco Billy,1980,,,Adventure,,,,Clint Eastwood,Clint Eastwood,
576,Broken Vows,2016,R,90 minutes,Thriller/Suspense,,,,Bram Coppens,"Wes Bentley,Jaimie Alexander",
577,Bronco Belle,2017,,,Drama,,,,Khurram Longi,Emily Blunt,
578,The Broken Tower,2012,,99 minutes,Drama,,,,James Franco,,
579,Broken Vessels,1999,R,,Drama,,,,,,"$85,343"
580,Broken Sky,2006,Not Rated,,,,,,,,
581,Music From the Big House,2014,,,Documentary,,,,Bruce McDonald,,
582,Music From Another Room,1998,PG-13,,,,,,,,
583,Music Box,1989,,,Thriller/Suspense,,,,Costa-Gavras,,
584,Les Muses Orphelines,2000,Not Rated,,,,,,,,
585,Museum Hours,2013,Not Rated,106 minutes,Drama,,,,Jem Cohen,,"$542,534"
586,The Muse,1999,PG-13,97 minutes,Comedy,,,,Albert Brooks,"Albert Brooks,Sharon Stone,Andie MacDowell",
587,Music and Lyrics,2007,PG-13,104 minutes,Romantic Comedy,,,,Marc Lawrence,"Hugh Grant,Drew Barrymore","$146,196,885"
588,Muscle Shoals,2013,PG,111 minutes,Documentary,,,,Greg 'Freedy' Camalier,,
589,Musaranas,2014,,91 minutes,Horror,,,,Juanfer Andres,,"$10,876"
590,Musa,2017,,107 minutes,Horror,,,,Jaume Balaguero,,"$243,233"
591,Murphy's Romance,1985,,,Romantic Comedy,,,,,,
592,Murphy's Law,1986,,,Action,,,,Jack Lee Thompson,,
593,Broken Land,2014,,,Documentary,,,,Stephanie Barbey,,
594,MURPH: The Protector,2013,PG,79 minutes,Documentary,,,,Scott Mactavish,,
595,The Broken Key,2016,,120 minutes,Thriller/Suspense,,,,Louis Nero,,"$113,853"
596,Broken Horses,2015,R,101 minutes,Action,,,,Vidhu Vinod Chopra,,"$3,471"
597,Broken Hill,2009,PG,,Drama,,,,,"Luke Arnold,Alexa Vega",
598,The Broken Hearts Club: A Romantic Comedy,2000,R,,Comedy,,,,,,"$2,022,442"
599,Broken Faith,2012,R,,Action,,,,Ricki Holmes,,
600,Broken Flowers,2005,R,106 minutes,Romantic Comedy,,,,Jim Jarmusch,Bill Murray,"$40,744,960"
601,Broken English,1997,PG-13,,Drama,,,,,,
602,Broken Embraces,2010,,,Drama,,,,,,
603,Broken English,2007,PG-13,,Romantic Comedy,,,,,Parker Posey,"$1,944,150"
604,Murmur of the Heart,1971,,,,,,,,,
605,Muriel's Wedding,1995,R,,Comedy,,,,P.J. Hogan,,
606,The Murders of Brandywine Theater,2014,,71 minutes,Drama,,,,,,
607,Broken City,2013,R,108 minutes,Thriller/Suspense,,,,Allen Hughes,"Mark Wahlberg,Russell Crowe,Catherine Zeta-Jones","$34,480,045"
608,Murders in the Zoo,1933,,62 minutes,Horror,,,,,,
609,Murders in the Rue Morgue,2012,,,Horror,,,,Gordon Hessler,,
610,Murder She Baked: A Peach Cobbler Mystery,2017,Not Rated,84 minutes,Drama,,,,Kristoffer Tabori,,
611,Murderous Maids,2002,Not Rated,,,,,,,,
612,Murderball,2005,PG-13,,Documentary,,,,,,"$1,772,979"
613,Murder She Baked: A Deadly Recipe,2017,Not Rated,86 minutes,Drama,,,,Kristoffer Tabori,,
614,Murder She Baked: A Chocolate Chip Cookie Mystery,2016,,,,,,,Mark Jean,,
615,Murder on the Orient Express,1974,,87 minutes,Thriller/Suspense,,,,Sidney Lumet,,"$35,755,250"
616,Murder of the Inugami Clan,2006,,,,,,,,,
617,Broken Bridges,2006,PG-13,,Drama,,,,,,
618,Broken Arrow,2007,,93 minutes,Western,,,,Delmer Daves,,
619,The Broken Circle Breakdown,2013,Not Rated,110 minutes,Drama,,,,Felix Van Groeningen,"Johan Heldenbergh,Veerle Baetens","$3,985,226"
620,Broken Arrow,1996,R,108 minutes,Action,,,,John Woo,"John Travolta,Christian Slater","$148,345,997"
621,Broken,2017,,97 minutes,Drama,,,,Tarry Mortlock,,"$538,521"
622,Murder on the Orient Express,2017,PG-13,114 minutes,Drama,,,,Kenneth Branagh,"Kenneth Branagh,PenÃ©lope Cruz,Willem Dafoe,Judi Dench,Johnny Depp,Josh Gad,Leslie Odom Jr.,Michelle Pfeiffer,Daisy Ridley","$349,213,586"
623,Broken,2013,Not Rated,90 minutes,Drama,,,,Rufus Norris,"Tim Roth,Eloise Laurence","$1,212,304"
624,Broken,2007,,,Thriller/Suspense,,,,,,
625,Broke,2016,,105 minutes,Drama,,,,Heath Davis,,"$18,616"
626,Broers,2017,,105 minutes,Adventure,,,,,,"$76,217"
627,Brokedown Palace,1999,PG-13,,Drama,,,,,,"$11,115,766"
628,Broer,2015,,,Comedy,,,,Geoffrey Enthoven,,"$508,647"
629,BrÃ¸dre,2014,,100 minutes,Documentary,,,,Aslaug Holm,,$917
630,BrÃ¸dre,2005,R,,Drama,,,,,"Connie Nielsen,Ulrich Thomsen,Nikolaj Lie Kaas",
631,The Murder of King Tutankhamen,2011,,,Drama,,,,,,
632,Brokeback Mountain,2005,R,134 minutes,Drama,,,,Ang Lee,,"$177,012,173"
633,A Murder of Crows,1998,,,,,,,Rowdy Harrington,,
634,Murder of a Cat,2014,Not Rated,101 minutes,Comedy,,,,Gillian Greene,"Fran Kranz,Nikki Reed,J.K. Simmons,Blythe Danner,Greg Kinnear",
635,A Murder in the Park,2015,PG-13,93 minutes,Documentary,,,,Shawn Rech,Dexter Hammett,
636,Murder in the Dark,2013,R,,Thriller/Suspense,,,,Dagen Merrill,,
637,Murder in the First,1995,R,,Drama,,,,,,
638,A Murder in Mansfield,2017,,88 minutes,Documentary,,,,Barbara Kopple,,
