id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
2735,"Lula, o Filho do Brasil",2012,,128 minutes,Drama,,,,Fabio Barreto,Rui Ricardo Diaz,
2736,Luke Cage,2011,,,Action,,,,John Singleton,,
2737,El lugar mÃ¡s pequeÃ±o,2011,,104 minutes,Documentary,,,,Tatiana Huezo,,
2738,Ludwig,2017,,,,,,,Luchino Visconti,,
2739,Luckyâ€™s Treasure,2017,,,,,,,Rosemary Rodriguez,,
2740,Luftslottet som sprÃ¤ngdes,2010,R,146 minutes,Thriller/Suspense,,,,Daniel Alfredson,"Noomi Rapace,Michael Nyqvist","$41,179,660"
2741,Astraea,2016,,,Adventure,,,,Kristjan Thor,,
2742,Astoria,2002,R,,Drama,,,,,,
2743,Astonishing X-Men Unstoppable,2012,,,,,,,,,
2744,Astonishing X-Men: Dangerous,2012,,,Action,,,,,,
2745,Lucy,2014,R,88 minutes,Action,,,,Luc Besson,Scarlett Johansson,"$457,507,776"
2746,Astonishing X-Men: Torn,2012,,,Action,,,,,,
2747,Asthma,2015,Not Rated,90 minutes,Drama,,,,Jake Hoffman,"Krysten Ritter,Samuel Benedict",
2748,AstÃ©rix: Le domaine des dieux,2015,Not Rated,85 minutes,Adventure,,,,Louis Clichy,Roger Carel,"$51,379,470"
2749,Asterix in America,1996,,,,,,,,,
2750,AstÃ©rix et ObÃ©lix contre CÃ©sar,1999,Not Rated,109 minutes,Adventure,,,,,,
2751,AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,2012,,110 minutes,Adventure,,,,Laurent Tirard,"Edouard Baer,Gerard Depardieu,Guillaume Gallienne,Vincent Lacoste,Valerie Lemercier,Fabrice Luchini,Catherine Deneuve,Charlotte Le Bon","$60,680,125"
2752,The Associate,2011,,,Thriller/Suspense,,,,,,
2753,The Dwarf in China,2015,Not Rated,52 minutes,Documentary,,,,Ben Arend Reisman,,
2754,AstÃ©rix aux Jeux Olympiques,2008,Not Rated,,Adventure,,,,,,"$132,999,811"
2755,Dvizhenie Vverkh,2017,,133 minutes,Drama,,,,Anton Megerdichev,,"$52,960,201"
2756,DvojnÃ­ci,2015,,,Comedy,,,,Jiri Chlumsky,,"$508,962"
2757,Duze zwierze,2004,Not Rated,,Drama,,,,,,
2758,DÅ­vka za baloncheta,2017,,104 minutes,Drama,,,,Stanislav Todorov Rogi,,"$401,459"
2759,Dutch Kills,2015,Not Rated,,Thriller/Suspense,,,,Joseph Mazzella,,
2760,En duva satt pÃ¥ en gren och funderade pÃ¥ tillvaron,2015,PG-13,100 minutes,Comedy,,,,Roy Andersson,Holger Andersson,"$231,895"
