id,title,year,mpaa,runtime,genres,director,stars,gross
24609,Tully,2018,R,94 minutes,Comedy,Jason Reitman,-1,-1
24610,Tulpan,2009,Not Rated,100 minutes,Comedy,-1,-1,-1
24611,Tully,2002,Not Rated,-1,Drama,-1,-1,-1
24612,Tuintje In Mijn Hart,2016,-1,-1,Romantic Comedy,Marc Waltman,-1,"$1,899,787"
24613,Tui Li Bi Ji,2017,-1,90 minutes,Drama,Tianhui Zhang,-1,"$1,347,336"
24614,Tulip Fever,2017,R,105 minutes,Drama,Jason Chadwick,-1,"$3,882,453"
24615,Tuff Turf,1985,R,112 minutes,Action,Fritz Kiersch,"James Spader,Kim Richards,Paul Mones,Matt Clark",-1
24616,Tudo Que Aprendemos Juntos,2015,-1,102 minutes,Drama,Sergio Machado,-1,"$291,556"
24617,Tucker: The Man and His Dream,1988,PG,-1,Drama,Francis Ford Coppola,-1,-1
24618,Shopping for Fangs,1998,R,-1,-1,Justin Lin,-1,-1
24619,Shopkins: World Vacation,2017,-1,-1,Adventure,Richard Bailey,-1,"$131,331"
24620,Tuck Everlasting,2002,PG,96 minutes,Drama,Jay Russell,-1,"$19,344,615"
24621,Tucker & Dale vs. Evil,2011,R,88 minutes,Black Comedy,Eli Craig,"Tyler Labine,Alan Tudyk","$5,476,793"
24622,Shopping,1996,-1,-1,-1,Paul Anderson,-1,-1
24623,Shopkins: Chef Club,2016,-1,-1,Adventure,-1,-1,-1
24624,Shopkins Wild,2017,-1,72 minutes,Adventure,-1,-1,"$63,879"
24625,The Shop Around the Corner,1940,Not Rated,97 minutes,Multiple Genres,Ernst Lubitsch,"Margaret Sullavan,James Stewart",-1
24626,Shooting the Warwicks,2015,-1,95 minutes,Comedy,Adam Rifkin,-1,-1
24627,The Shootist,1975,-1,-1,-1,Don Siegel,-1,-1
24628,Shootout at Wadala,2013,Not Rated,155 minutes,Action,-1,-1,"$14,038,660"
24629,Shopgirl,2005,R,-1,Drama,-1,Steve Martin,"$11,758,418"
24630,Shooting Stars,1927,-1,80 minutes,Western,Anthony Asquith,-1,"$5,300"
24631,Shooting the Prodigal,2016,-1,-1,Comedy,David E. Powers,-1,-1
24632,Shooting Star,2009,PG,-1,-1,-1,-1,-1
24633,Tube Tales,1999,Not Rated,90 minutes,Drama,-1,-1,-1
24634,Tu Xia Chuan Qi,2011,PG,89 minutes,Adventure,Lijun Sun,-1,"$1,828,400"
24635,Tu xia zhi qing li chuan shuo,2015,Not Rated,-1,Adventure,Dake Dong,-1,"$623,743"
24636,Shooting Porn,1997,-1,-1,-1,-1,-1,-1
24637,Tu Hai Mera Sunday,2016,-1,119 minutes,Drama,Milind Dhaimade,-1,"$44,558"
24638,Tu seras mon fils,2013,R,102 minutes,Drama,Gilles Legrand,"Niels Arestrup,LorÃ nt Deutsch","$6,453,531"
24639,Shooting Fish,1998,PG,-1,-1,-1,-1,-1
24640,Shooter,2007,R,126 minutes,Thriller/Suspense,Antoine Fuqua,Mark Wahlberg,"$95,538,560"
24641,Shoot to Kill,1988,R,-1,Action,Roger Spottiswoode,-1,-1
24642,Shoot the Hero,2010,R,-1,Comedy,-1,-1,-1
24643,Shoot the Sun Down,2013,Not Rated,99 minutes,Western,David Leeds,-1,-1
24644,Shoot the Moon,1982,-1,-1,Drama,Alan Parker,Diane Keaton,-1
24645,Shoot Out at Lokhandwala,2007,Not Rated,-1,Drama,-1,-1,"$8,191,079"
24646,Shoot First and Pray You Live,2010,R,-1,Western,-1,-1,-1
24647,Shoot on Sight,2008,R,112 minutes,Drama,-1,-1,"$2,992,880"
24648,TT3D: Closer to the Edge,2011,-1,-1,Documentary,-1,-1,-1
24649,Tsurugidake: Ten no Ki,2009,-1,-1,-1,-1,-1,"$24,405,079"
24650,Tu dors Nicole,2015,Not Rated,93 minutes,Comedy,Stephane Lafleur,Julianne Cote,"$10,349"
24651,Shoot 'Em Up,2007,R,87 minutes,Action,-1,Clive Owen,"$26,796,824"
24652,Cold Fish,2011,-1,145 minutes,Horror,Sion Sono,Denden,-1
24653,Tsukiji Uogashi Sandaime,2008,-1,-1,-1,-1,-1,"$469,202"
24654,Tsukuroi tatsu hito,2014,-1,104 minutes,Drama,Yukiko Mishima,-1,"$17,081"
24655,Tsukigami,2007,-1,-1,-1,-1,-1,"$4,306,083"
24656,Tsubaki SanjÃ»rÃ´,2007,-1,-1,Action,-1,-1,"$3,675,205"
24657,Tschick,2015,-1,93 minutes,Drama,Fatih Akin,-1,"$167,261"
24658,Shoot Down,2008,PG-13,-1,Documentary,-1,-1,-1
24659,The Shonku Diaries: A Unicorn Adventure,2017,-1,90 minutes,Adventure,Kamal Bansal,-1,"$115,630"
24660,Trys milijonai eurÅ³,2017,-1,90 minutes,Comedy,Tadas Vidmantas,-1,"$1,686,941"
24661,Tschiller: Off Duty,2016,-1,140 minutes,Action,Christian Alvart,-1,"$2,821,972"
24662,Sholem Aleichem: Laughing in the Darkness,2011,Not Rated,93 minutes,Documentary,-1,-1,-1
24663,Tsotsi,2006,R,-1,Drama,Gavin Hood,-1,"$11,537,539"
24664,ShÃ´jo,2005,Not Rated,-1,Drama,-1,-1,-1
